correct,rt
0,0.823731
0,1.008089
1,1.1792909999999999
1,1.155767
1,1.88393
1,1.499253
1,1.324419
1,1.195263
0,1.33248
1,1.844398
1,1.8793689999999998
1,1.019364
1,1.5963230000000002
1,1.683707
0,1.4926700000000002
0,1.220014
1,1.25567
1,1.384483
1,1.67619
1,1.214949
1,1.104047
0,1.684364
1,1.356049
1,2.004043
1,2.03645
1,1.748018
1,0.651946
1,2.10416
1,1.5886230000000001
1,1.376473
1,2.2287109999999997
1,1.611859
1,1.215258
1,0.9799220000000001
1,1.5960809999999999
1,1.616049
1,0.808357
1,2.092497
1,0.967754
1,1.499924
1,2.44746
1,1.832639
1,2.431099
1,1.1761389999999998
1,0.804406
1,0.947735
1,0.448139
1,1.2638520000000002
1,1.340643
1,1.491942
1,1.199528
1,1.98428
1,1.104198
1,1.27196
1,1.408198
1,1.087999
1,1.692182
1,1.443635
0,1.771896
1,2.007951
1,0.801481
1,1.871912
1,1.043521
1,1.16235
1,1.440561
1,1.0630229999999998
1,1.6518920000000001
1,1.347936
1,1.250007
1,1.138723
1,1.2086459999999999
1,1.132026
1,1.365764
1,1.23396
1,1.266432
1,1.7214280000000002
1,1.177689
1,1.0834739999999998
1,1.011609
1,1.188223
1,1.0317370000000001
1,1.417739
0,1.666412
0,1.3017919999999998
1,1.281731
1,1.395674
1,1.929975
1,1.434943
1,1.1936959999999999
1,2.3486979999999997
1,2.302773
1,2.065895
1,2.058442
1,1.783443
1,2.259047
1,1.424081
0,1.058269
0,1.766737
1,2.3141819999999997
1,1.452197
0,1.167045
1,1.7863140000000002
1,1.019935
1,0.963521
1,0.7116169999999999
1,0.745556
1,0.668794
1,0.932126
1,1.315394
1,1.499147
1,0.870797
1,0.732066
1,2.355246
0,0.929162
1,1.626144
1,0.665457
1,0.589426
1,0.886675
1,1.0927529999999999
0,0.7366280000000001
1,1.350001
0,0.576097
0,0.711793
1,1.094692
1,0.770897
1,0.854514
1,1.317414
1,0.803357
1,0.8440700000000001
1,0.735544
1,0.788929
1,0.903721
0,0.8785270000000001
1,2.023864
1,0.9743099999999999
1,0.8515130000000001
1,0.927024
1,0.9418719999999999
1,1.574126
1,1.1396410000000001
1,0.951723
1,1.1088330000000002
1,1.113751
1,1.165346
1,0.593033
1,0.535188
1,1.57995
1,2.483269
1,0.630658
1,0.751009
1,0.821403
1,0.963237
1,1.754188
1,1.3579729999999999
1,1.25177
1,1.8165920000000002
1,0.390224
1,0.5722910000000001
1,1.5676569999999999
1,1.3829090000000002
1,1.00786
1,0.9520299999999999
0,0.9563189999999999
1,1.3130050000000002
0,0.645587
1,2.1769540000000003
1,1.638709
1,1.7077840000000002
1,2.047916
1,1.318616
1,1.230421
1,1.394032
1,1.2843989999999998
1,1.688086
1,1.522115
1,1.377497
1,1.60344
1,1.4261389999999998
1,1.2580619999999998
1,2.21995
1,1.227332
1,1.445792
1,1.144025
1,1.0689870000000001
1,0.51323
1,0.639119
1,1.065877
1,0.774632
1,1.5843420000000001
1,1.1198350000000001
1,1.093334
1,0.471478
1,1.0041660000000001
1,0.766887
1,1.741074
1,0.559517
1,1.050643
1,0.458291
1,0.46713499999999997
1,0.38022500000000004
1,0.524552
1,0.652938
1,0.453303
1,0.681763
