correct,rt
1,1.876493
1,1.707751
0,0.795888
1,2.496167
1,1.4835930000000002
1,0.392159
1,1.035156
1,1.016222
1,1.2752970000000001
1,1.012441
1,0.720167
1,0.859896
1,0.787375
1,1.419794
1,1.272052
1,1.092414
1,0.883987
1,0.9947290000000001
1,0.777975
1,0.9410270000000001
1,1.1303969999999999
1,0.9586480000000001
1,0.923888
1,0.8502329999999999
1,0.87574
1,0.874324
1,1.1913099999999999
1,1.184102
1,1.040022
1,1.150962
1,1.16165
1,1.153619
1,0.702433
1,0.703365
1,1.000407
1,1.195732
1,0.12204300000000001
1,0.454956
1,0.364391
1,0.5289360000000001
1,0.378064
1,0.5262469999999999
1,0.369418
1,0.682975
1,0.484588
1,0.559145
1,0.693167
1,1.619241
1,0.71951
1,0.882759
1,0.745347
1,0.799239
1,0.8285309999999999
1,0.818905
1,0.110196
1,0.8510700000000001
1,0.52983
1,1.915943
1,1.1964480000000002
1,0.562112
1,1.616423
1,0.500642
1,1.0857739999999998
1,0.891455
1,1.048594
1,1.102065
1,1.5001900000000001
1,0.772437
1,0.619592
1,0.953505
1,0.9248099999999999
1,0.5008980000000001
1,0.978799
1,1.964324
1,0.8740460000000001
1,0.926704
1,1.077209
1,0.759004
1,0.798832
1,1.12808
1,1.6217840000000001
1,0.7151409999999999
1,0.321759
1,0.6355919999999999
1,0.8004439999999999
1,0.39375299999999996
1,0.8167559999999999
1,1.31417
1,0.416311
1,0.498419
